modelo_id,variables,interacciones,n_variables,n_interacciones,n_terminos
199,fage + gained + whitemom_bin,fage × whitemom_bin + gained × whitemom_bin,3,2,5
200,fage + gained + mature_bin,,3,0,3
201,fage + gained + mature_bin,fage × gained,3,1,4
202,fage + gained + mature_bin,fage × mature_bin,3,1,4
203,fage + gained + mature_bin,gained × mature_bin,3,1,4
204,fage + gained + mature_bin,fage × gained + fage × mature_bin,3,2,5
205,fage + gained + mature_bin,fage × gained + gained × mature_bin,3,2,5
206,fage + gained + mature_bin,fage × mature_bin + gained × mature_bin,3,2,5
207,fage + sex_bin + habit_bin,,3,0,3
208,fage + sex_bin + habit_bin,fage × sex_bin,3,1,4
209,fage + sex_bin + habit_bin,fage × habit_bin,3,1,4
210,fage + sex_bin + habit_bin,sex_bin × habit_bin,3,1,4
211,fage + sex_bin + habit_bin,fage × sex_bin + fage × habit_bin,3,2,5
212,fage + sex_bin + habit_bin,fage × sex_bin + sex_bin × habit_bin,3,2,5
213,fage + sex_bin + habit_bin,fage × habit_bin + sex_bin × habit_bin,3,2,5
214,fage + sex_bin + marital_bin,,3,0,3
215,fage + sex_bin + marital_bin,fage × sex_bin,3,1,4
216,fage + sex_bin + marital_bin,fage × marital_bin,3,1,4
217,fage + sex_bin + marital_bin,sex_bin × marital_bin,3,1,4
218,fage + sex_bin + marital_bin,fage × sex_bin + fage × marital_bin,3,2,5
219,fage + sex_bin + marital_bin,fage × sex_bin + sex_bin × marital_bin,3,2,5
220,fage + sex_bin + marital_bin,fage × marital_bin + sex_bin × marital_bin,3,2,5
221,fage + sex_bin + whitemom_bin,,3,0,3
222,fage + sex_bin + whitemom_bin,fage × sex_bin,3,1,4
223,fage + sex_bin + whitemom_bin,fage × whitemom_bin,3,1,4
224,fage + sex_bin + whitemom_bin,sex_bin × whitemom_bin,3,1,4
225,fage + sex_bin + whitemom_bin,fage × sex_bin + fage × whitemom_bin,3,2,5
226,fage + sex_bin + whitemom_bin,fage × sex_bin + sex_bin × whitemom_bin,3,2,5
227,fage + sex_bin + whitemom_bin,fage × whitemom_bin + sex_bin × whitemom_bin,3,2,5
228,fage + sex_bin + mature_bin,,3,0,3
229,fage + sex_bin + mature_bin,fage × sex_bin,3,1,4
230,fage + sex_bin + mature_bin,fage × mature_bin,3,1,4
231,fage + sex_bin + mature_bin,sex_bin × mature_bin,3,1,4
232,fage + sex_bin + mature_bin,fage × sex_bin + fage × mature_bin,3,2,5
233,fage + sex_bin + mature_bin,fage × sex_bin + sex_bin × mature_bin,3,2,5
234,fage + sex_bin + mature_bin,fage × mature_bin + sex_bin × mature_bin,3,2,5
235,fage + habit_bin + marital_bin,,3,0,3
236,fage + habit_bin + marital_bin,fage × habit_bin,3,1,4
237,fage + habit_bin + marital_bin,fage × marital_bin,3,1,4
238,fage + habit_bin + marital_bin,habit_bin × marital_bin,3,1,4
239,fage + habit_bin + marital_bin,fage × habit_bin + fage × marital_bin,3,2,5
240,fage + habit_bin + marital_bin,fage × habit_bin + habit_bin × marital_bin,3,2,5
241,fage + habit_bin + marital_bin,fage × marital_bin + habit_bin × marital_bin,3,2,5
242,fage + habit_bin + whitemom_bin,,3,0,3
243,fage + habit_bin + whitemom_bin,fage × habit_bin,3,1,4
244,fage + habit_bin + whitemom_bin,fage × whitemom_bin,3,1,4
245,fage + habit_bin + whitemom_bin,habit_bin × whitemom_bin,3,1,4
246,fage + habit_bin + whitemom_bin,fage × habit_bin + fage × whitemom_bin,3,2,5
247,fage + habit_bin + whitemom_bin,fage × habit_bin + habit_bin × whitemom_bin,3,2,5
248,fage + habit_bin + whitemom_bin,fage × whitemom_bin + habit_bin × whitemom_bin,3,2,5
249,fage + habit_bin + mature_bin,,3,0,3
250,fage + habit_bin + mature_bin,fage × habit_bin,3,1,4
251,fage + habit_bin + mature_bin,fage × mature_bin,3,1,4
252,fage + habit_bin + mature_bin,habit_bin × mature_bin,3,1,4
253,fage + habit_bin + mature_bin,fage × habit_bin + fage × mature_bin,3,2,5
254,fage + habit_bin + mature_bin,fage × habit_bin + habit_bin × mature_bin,3,2,5
255,fage + habit_bin + mature_bin,fage × mature_bin + habit_bin × mature_bin,3,2,5
256,fage + marital_bin + whitemom_bin,,3,0,3
257,fage + marital_bin + whitemom_bin,fage × marital_bin,3,1,4
258,fage + marital_bin + whitemom_bin,fage × whitemom_bin,3,1,4
259,fage + marital_bin + whitemom_bin,marital_bin × whitemom_bin,3,1,4
260,fage + marital_bin + whitemom_bin,fage × marital_bin + fage × whitemom_bin,3,2,5
261,fage + marital_bin + whitemom_bin,fage × marital_bin + marital_bin × whitemom_bin,3,2,5
262,fage + marital_bin + whitemom_bin,fage × whitemom_bin + marital_bin × whitemom_bin,3,2,5
263,fage + marital_bin + mature_bin,,3,0,3
264,fage + marital_bin + mature_bin,fage × marital_bin,3,1,4
265,fage + marital_bin + mature_bin,fage × mature_bin,3,1,4
266,fage + marital_bin + mature_bin,marital_bin × mature_bin,3,1,4
267,fage + marital_bin + mature_bin,fage × marital_bin + fage × mature_bin,3,2,5
268,fage + marital_bin + mature_bin,fage × marital_bin + marital_bin × mature_bin,3,2,5
269,fage + marital_bin + mature_bin,fage × mature_bin + marital_bin × mature_bin,3,2,5
270,fage + whitemom_bin + mature_bin,,3,0,3
271,fage + whitemom_bin + mature_bin,fage × whitemom_bin,3,1,4
272,fage + whitemom_bin + mature_bin,fage × mature_bin,3,1,4
273,fage + whitemom_bin + mature_bin,whitemom_bin × mature_bin,3,1,4
274,fage + whitemom_bin + mature_bin,fage × whitemom_bin + fage × mature_bin,3,2,5
275,fage + whitemom_bin + mature_bin,fage × whitemom_bin + whitemom_bin × mature_bin,3,2,5
276,fage + whitemom_bin + mature_bin,fage × mature_bin + whitemom_bin × mature_bin,3,2,5
277,mage + visits + gained,,3,0,3
278,mage + visits + gained,mage × visits,3,1,4
279,mage + visits + gained,mage × gained,3,1,4
280,mage + visits + gained,visits × gained,3,1,4
281,mage + visits + gained,mage × visits + mage × gained,3,2,5
282,mage + visits + gained,mage × visits + visits × gained,3,2,5
283,mage + visits + gained,mage × gained + visits × gained,3,2,5
284,mage + visits + sex_bin,,3,0,3
285,mage + visits + sex_bin,mage × visits,3,1,4
286,mage + visits + sex_bin,mage × sex_bin,3,1,4
287,mage + visits + sex_bin,visits × sex_bin,3,1,4
288,mage + visits + sex_bin,mage × visits + mage × sex_bin,3,2,5
289,mage + visits + sex_bin,mage × visits + visits × sex_bin,3,2,5
290,mage + visits + sex_bin,mage × sex_bin + visits × sex_bin,3,2,5
291,mage + visits + habit_bin,,3,0,3
292,mage + visits + habit_bin,mage × visits,3,1,4
293,mage + visits + habit_bin,mage × habit_bin,3,1,4
294,mage + visits + habit_bin,visits × habit_bin,3,1,4
295,mage + visits + habit_bin,mage × visits + mage × habit_bin,3,2,5
296,mage + visits + habit_bin,mage × visits + visits × habit_bin,3,2,5
297,mage + visits + habit_bin,mage × habit_bin + visits × habit_bin,3,2,5
298,mage + visits + marital_bin,,3,0,3
299,mage + visits + marital_bin,mage × visits,3,1,4
300,mage + visits + marital_bin,mage × marital_bin,3,1,4
301,mage + visits + marital_bin,visits × marital_bin,3,1,4
302,mage + visits + marital_bin,mage × visits + mage × marital_bin,3,2,5
303,mage + visits + marital_bin,mage × visits + visits × marital_bin,3,2,5
304,mage + visits + marital_bin,mage × marital_bin + visits × marital_bin,3,2,5
305,mage + visits + whitemom_bin,,3,0,3
306,mage + visits + whitemom_bin,mage × visits,3,1,4
307,mage + visits + whitemom_bin,mage × whitemom_bin,3,1,4
308,mage + visits + whitemom_bin,visits × whitemom_bin,3,1,4
309,mage + visits + whitemom_bin,mage × visits + mage × whitemom_bin,3,2,5
310,mage + visits + whitemom_bin,mage × visits + visits × whitemom_bin,3,2,5
311,mage + visits + whitemom_bin,mage × whitemom_bin + visits × whitemom_bin,3,2,5
312,mage + visits + mature_bin,,3,0,3
313,mage + visits + mature_bin,mage × visits,3,1,4
314,mage + visits + mature_bin,mage × mature_bin,3,1,4
315,mage + visits + mature_bin,visits × mature_bin,3,1,4
316,mage + visits + mature_bin,mage × visits + mage × mature_bin,3,2,5
317,mage + visits + mature_bin,mage × visits + visits × mature_bin,3,2,5
318,mage + visits + mature_bin,mage × mature_bin + visits × mature_bin,3,2,5
319,mage + gained + sex_bin,,3,0,3
320,mage + gained + sex_bin,mage × gained,3,1,4
321,mage + gained + sex_bin,mage × sex_bin,3,1,4
322,mage + gained + sex_bin,gained × sex_bin,3,1,4
323,mage + gained + sex_bin,mage × gained + mage × sex_bin,3,2,5
324,mage + gained + sex_bin,mage × gained + gained × sex_bin,3,2,5
325,mage + gained + sex_bin,mage × sex_bin + gained × sex_bin,3,2,5
326,mage + gained + habit_bin,,3,0,3
327,mage + gained + habit_bin,mage × gained,3,1,4
328,mage + gained + habit_bin,mage × habit_bin,3,1,4
329,mage + gained + habit_bin,gained × habit_bin,3,1,4
330,mage + gained + habit_bin,mage × gained + mage × habit_bin,3,2,5
331,mage + gained + habit_bin,mage × gained + gained × habit_bin,3,2,5
332,mage + gained + habit_bin,mage × habit_bin + gained × habit_bin,3,2,5
333,mage + gained + marital_bin,,3,0,3
334,mage + gained + marital_bin,mage × gained,3,1,4
335,mage + gained + marital_bin,mage × marital_bin,3,1,4
336,mage + gained + marital_bin,gained × marital_bin,3,1,4
337,mage + gained + marital_bin,mage × gained + mage × marital_bin,3,2,5
338,mage + gained + marital_bin,mage × gained + gained × marital_bin,3,2,5
339,mage + gained + marital_bin,mage × marital_bin + gained × marital_bin,3,2,5
340,mage + gained + whitemom_bin,,3,0,3
341,mage + gained + whitemom_bin,mage × gained,3,1,4
342,mage + gained + whitemom_bin,mage × whitemom_bin,3,1,4
343,mage + gained + whitemom_bin,gained × whitemom_bin,3,1,4
344,mage + gained + whitemom_bin,mage × gained + mage × whitemom_bin,3,2,5
345,mage + gained + whitemom_bin,mage × gained + gained × whitemom_bin,3,2,5
346,mage + gained + whitemom_bin,mage × whitemom_bin + gained × whitemom_bin,3,2,5
347,mage + gained + mature_bin,,3,0,3
348,mage + gained + mature_bin,mage × gained,3,1,4
349,mage + gained + mature_bin,mage × mature_bin,3,1,4
350,mage + gained + mature_bin,gained × mature_bin,3,1,4
351,mage + gained + mature_bin,mage × gained + mage × mature_bin,3,2,5
352,mage + gained + mature_bin,mage × gained + gained × mature_bin,3,2,5
353,mage + gained + mature_bin,mage × mature_bin + gained × mature_bin,3,2,5
354,mage + sex_bin + habit_bin,,3,0,3
355,mage + sex_bin + habit_bin,mage × sex_bin,3,1,4
356,mage + sex_bin + habit_bin,mage × habit_bin,3,1,4
357,mage + sex_bin + habit_bin,sex_bin × habit_bin,3,1,4
358,mage + sex_bin + habit_bin,mage × sex_bin + mage × habit_bin,3,2,5
359,mage + sex_bin + habit_bin,mage × sex_bin + sex_bin × habit_bin,3,2,5
360,mage + sex_bin + habit_bin,mage × habit_bin + sex_bin × habit_bin,3,2,5
361,mage + sex_bin + marital_bin,,3,0,3
362,mage + sex_bin + marital_bin,mage × sex_bin,3,1,4
363,mage + sex_bin + marital_bin,mage × marital_bin,3,1,4
364,mage + sex_bin + marital_bin,sex_bin × marital_bin,3,1,4
365,mage + sex_bin + marital_bin,mage × sex_bin + mage × marital_bin,3,2,5
366,mage + sex_bin + marital_bin,mage × sex_bin + sex_bin × marital_bin,3,2,5
367,mage + sex_bin + marital_bin,mage × marital_bin + sex_bin × marital_bin,3,2,5
368,mage + sex_bin + whitemom_bin,,3,0,3
369,mage + sex_bin + whitemom_bin,mage × sex_bin,3,1,4
370,mage + sex_bin + whitemom_bin,mage × whitemom_bin,3,1,4
371,mage + sex_bin + whitemom_bin,sex_bin × whitemom_bin,3,1,4
372,mage + sex_bin + whitemom_bin,mage × sex_bin + mage × whitemom_bin,3,2,5
373,mage + sex_bin + whitemom_bin,mage × sex_bin + sex_bin × whitemom_bin,3,2,5
374,mage + sex_bin + whitemom_bin,mage × whitemom_bin + sex_bin × whitemom_bin,3,2,5
375,mage + sex_bin + mature_bin,,3,0,3
376,mage + sex_bin + mature_bin,mage × sex_bin,3,1,4
377,mage + sex_bin + mature_bin,mage × mature_bin,3,1,4
378,mage + sex_bin + mature_bin,sex_bin × mature_bin,3,1,4
379,mage + sex_bin + mature_bin,mage × sex_bin + mage × mature_bin,3,2,5
380,mage + sex_bin + mature_bin,mage × sex_bin + sex_bin × mature_bin,3,2,5
381,mage + sex_bin + mature_bin,mage × mature_bin + sex_bin × mature_bin,3,2,5
382,mage + habit_bin + marital_bin,,3,0,3
383,mage + habit_bin + marital_bin,mage × habit_bin,3,1,4
384,mage + habit_bin + marital_bin,mage × marital_bin,3,1,4
385,mage + habit_bin + marital_bin,habit_bin × marital_bin,3,1,4
386,mage + habit_bin + marital_bin,mage × habit_bin + mage × marital_bin,3,2,5
387,mage + habit_bin + marital_bin,mage × habit_bin + habit_bin × marital_bin,3,2,5
388,mage + habit_bin + marital_bin,mage × marital_bin + habit_bin × marital_bin,3,2,5
389,mage + habit_bin + whitemom_bin,,3,0,3
390,mage + habit_bin + whitemom_bin,mage × habit_bin,3,1,4
391,mage + habit_bin + whitemom_bin,mage × whitemom_bin,3,1,4
392,mage + habit_bin + whitemom_bin,habit_bin × whitemom_bin,3,1,4
393,mage + habit_bin + whitemom_bin,mage × habit_bin + mage × whitemom_bin,3,2,5
394,mage + habit_bin + whitemom_bin,mage × habit_bin + habit_bin × whitemom_bin,3,2,5
395,mage + habit_bin + whitemom_bin,mage × whitemom_bin + habit_bin × whitemom_bin,3,2,5
396,mage + habit_bin + mature_bin,,3,0,3
397,mage + habit_bin + mature_bin,mage × habit_bin,3,1,4
398,mage + habit_bin + mature_bin,mage × mature_bin,3,1,4
399,mage + habit_bin + mature_bin,habit_bin × mature_bin,3,1,4
400,mage + habit_bin + mature_bin,mage × habit_bin + mage × mature_bin,3,2,5
401,mage + habit_bin + mature_bin,mage × habit_bin + habit_bin × mature_bin,3,2,5
402,mage + habit_bin + mature_bin,mage × mature_bin + habit_bin × mature_bin,3,2,5
403,mage + marital_bin + whitemom_bin,,3,0,3
404,mage + marital_bin + whitemom_bin,mage × marital_bin,3,1,4
405,mage + marital_bin + whitemom_bin,mage × whitemom_bin,3,1,4
406,mage + marital_bin + whitemom_bin,marital_bin × whitemom_bin,3,1,4
407,mage + marital_bin + whitemom_bin,mage × marital_bin + mage × whitemom_bin,3,2,5
408,mage + marital_bin + whitemom_bin,mage × marital_bin + marital_bin × whitemom_bin,3,2,5
409,mage + marital_bin + whitemom_bin,mage × whitemom_bin + marital_bin × whitemom_bin,3,2,5
410,mage + marital_bin + mature_bin,,3,0,3
411,mage + marital_bin + mature_bin,mage × marital_bin,3,1,4
412,mage + marital_bin + mature_bin,mage × mature_bin,3,1,4
413,mage + marital_bin + mature_bin,marital_bin × mature_bin,3,1,4
414,mage + marital_bin + mature_bin,mage × marital_bin + mage × mature_bin,3,2,5
415,mage + marital_bin + mature_bin,mage × marital_bin + marital_bin × mature_bin,3,2,5
416,mage + marital_bin + mature_bin,mage × mature_bin + marital_bin × mature_bin,3,2,5
417,mage + whitemom_bin + mature_bin,,3,0,3
418,mage + whitemom_bin + mature_bin,mage × whitemom_bin,3,1,4
419,mage + whitemom_bin + mature_bin,mage × mature_bin,3,1,4
420,mage + whitemom_bin + mature_bin,whitemom_bin × mature_bin,3,1,4
421,mage + whitemom_bin + mature_bin,mage × whitemom_bin + mage × mature_bin,3,2,5
422,mage + whitemom_bin + mature_bin,mage × whitemom_bin + whitemom_bin × mature_bin,3,2,5
423,mage + whitemom_bin + mature_bin,mage × mature_bin + whitemom_bin × mature_bin,3,2,5
424,visits + gained + sex_bin,,3,0,3
425,visits + gained + sex_bin,visits × gained,3,1,4
426,visits + gained + sex_bin,visits × sex_bin,3,1,4
427,visits + gained + sex_bin,gained × sex_bin,3,1,4
428,visits + gained + sex_bin,visits × gained + visits × sex_bin,3,2,5
429,visits + gained + sex_bin,visits × gained + gained × sex_bin,3,2,5
430,visits + gained + sex_bin,visits × sex_bin + gained × sex_bin,3,2,5
431,visits + gained + habit_bin,,3,0,3
432,visits + gained + habit_bin,visits × gained,3,1,4
433,visits + gained + habit_bin,visits × habit_bin,3,1,4
434,visits + gained + habit_bin,gained × habit_bin,3,1,4
435,visits + gained + habit_bin,visits × gained + visits × habit_bin,3,2,5
436,visits + gained + habit_bin,visits × gained + gained × habit_bin,3,2,5
437,visits + gained + habit_bin,visits × habit_bin + gained × habit_bin,3,2,5
438,visits + gained + marital_bin,,3,0,3
439,visits + gained + marital_bin,visits × gained,3,1,4
440,visits + gained + marital_bin,visits × marital_bin,3,1,4
441,visits + gained + marital_bin,gained × marital_bin,3,1,4
442,visits + gained + marital_bin,visits × gained + visits × marital_bin,3,2,5
443,visits + gained + marital_bin,visits × gained + gained × marital_bin,3,2,5
444,visits + gained + marital_bin,visits × marital_bin + gained × marital_bin,3,2,5
445,visits + gained + whitemom_bin,,3,0,3
446,visits + gained + whitemom_bin,visits × gained,3,1,4
447,visits + gained + whitemom_bin,visits × whitemom_bin,3,1,4
